geo_code,average,x,y
05020106,0.132,551485.6587,4531266.964
05020107,0.109,553761.7811471983,4540288.578
05020108,0.131,559072.7902368628,4543279.036
05020109,0.261,562558.9190445633,4548508.16
05020110,0.13,553417.1938256467,4535558.897949999
05020111,0.099,551223.0043715211,4536843.971
05020112,0.133,547792.6696710323,4537263.116
05020113,0.184,559547.1284,4531100.731749999
05020201,0.14,561862.6043807322,4524915.479
05020202,0.081,552469.1258813357,4527321.935
05020203,0.12,563544.0929490969,4528641.067
05020204,0.114,556673.6544215917,4527560.75
05020301,0.087,545016.2278311746,4556403.949349999
05020302,0.0,556143.0004645174,4548761.453
05020303,0.0,550132.1409,4550428.994
05020304,0.0,551512.2675059362,4547040.496
05020305,0.0,546814.1239624952,4543891.43065
05020306,0.098,552809.0523891293,4556610.847
05020307,0.062,553748.0390239586,4543563.437
05020308,0.063,544474.1531,4548576.468400001
05030101,0.147,521579.6336345028,4529529.656
05030102,0.142,528177.5954665589,4531768.966
05030103,0.132,517670.0021120183,4533149.129
05030104,0.126,516940.7765,4528741.291
05030105,0.142,525370.8946001129,4530426.7744
05030106,0.123,515245.0498998519,4526948.089500001
05030201,0.142,524667.3012957606,4519730.612
05030202,0.132,524111.4160569207,4523503.795100001
05030203,0.137,520567.5161577343,4518426.418
05030204,0.12,521160.7402090294,4521992.472
05030205,0.134,515744.9009656138,4516762.586
05030206,0.116,525701.8795201277,4524728.856699999
05030207,0.158,511334.5094539238,4514511.661
05030301,0.142,494848.8214797673,4517490.744150001
05030302,0.154,505690.84875452274,4512275.847
05030303,0.117,499762.5844245738,4511175.485
05030304,0.115,495362.5819304984,4512400.369
05030305,0.129,491060.4594279472,4514455.301
05030306,0.12,500914.2801202803,4519506.458
05030401,0.125,510735.2149318857,4533690.117
05030402,0.097,512899.6883126361,4533377.846
05030403,0.107,515151.1276585797,4533322.686
05030501,0.097,509490.9470136276,4522201.773600001
05030502,0.166,513554.92554733634,4526325.845749999
05030503,0.113,511348.39319842,4525617.040949999
05030504,0.135,512412.0007968967,4525769.816
05030505,0.129,516753.2419776376,4522665.03155
05030506,0.137,506165.88064577046,4523679.448
05030507,0.156,504511.2741894281,4521189.302650001
05030508,0.141,513269.418,4520931.195
06010101,0.189,573065.9249716373,4554468.227
06010102,0.229,570740.5998214267,4551832.245999999
06010103,0.215,583353.2554579595,4556925.0605500005
06010201,0.088,561508.5914681397,4568161.128
06010202,0.071,568518.3998270612,4561075.563
06010203,0.089,556087.4415126755,4563274.617
06010204,0.066,556167.1539804531,4568910.742199999
06010205,0.078,562706.2573,4557656.347
06010206,0.083,551761.6606053284,4567425.329
06010207,0.125,546058.8641088781,4563870.65545
06020101,0.14,581593.2768,4545699.295100001
06020102,0.161,576186.4103015709,4548171.1
06020103,0.112,586291.0509,4545374.157
06020104,0.114,575334.5644068533,4544503.466
06020105,0.125,580770.7288567002,4550713.123
06020106,0.102,586026.7736885117,4549475.985
06020107,0.086,590431.7733724512,4546347.413
06020108,0.14,587354.7298166442,4552692.429
06020201,0.107,578246.3424022081,4537308.396050001
06020202,0.113,584275.8943625868,4539217.564
06020203,0.075,577896.3897522879,4533909.662599999
